Protocol,Round,NodeID,Energy_mW,Normalized_Energy
PEGASIS,174,0,13.147259836437652,0.6573629918218826
PEGASIS,180,0,12.912308745115515,0.6456154372557757
PEGASIS,186,0,12.677357653793377,0.6338678826896689
PEGASIS,192,0,12.442406562471241,0.6221203281235621
PEGASIS,198,0,12.2074554711491,0.610372773557455
PEGASIS,204,0,11.972504379826965,0.5986252189913482
PEGASIS,210,0,11.737553288504834,0.5868776644252417
PEGASIS,216,0,11.502602197182682,0.5751301098591342
PEGASIS,222,0,11.267651105860555,0.5633825552930277
PEGASIS,228,0,11.032700014538413,0.5516350007269206
PEGASIS,234,0,10.797748923216275,0.5398874461608137
PEGASIS,240,0,10.566627782455871,0.5283313891227935
PEGASIS,246,0,10.336751295712038,0.5168375647856018
PEGASIS,252,0,10.106874808968199,0.5053437404484099
PEGASIS,258,0,9.876998322224365,0.49384991611121826
PEGASIS,264,0,9.64712183548053,0.4823560917740265
PEGASIS,270,0,9.417245348736692,0.4708622674368346
PEGASIS,276,0,9.187368861992857,0.45936844309964286
PEGASIS,282,0,8.957492375249025,0.44787461876245127
PEGASIS,288,0,8.727615888505195,0.43638079442525973
PEGASIS,294,0,8.49773940176136,0.424886970088068
DeepSensor,0,0,19.949003560156832,0.9974501780078416
DeepSensor,6,0,19.643024921097812,0.9821512460548906
DeepSensor,12,0,19.33702251260041,0.9668511256300205
DeepSensor,18,0,19.03099633466463,0.9515498167332315
DeepSensor,24,0,18.724970061039087,0.9362485030519544
DeepSensor,30,0,18.418756677129814,0.9209378338564906
DeepSensor,36,0,18.11160783749163,0.9055803918745815
DeepSensor,42,0,17.804987508798643,0.8902493754399321
DeepSensor,48,0,17.49889569105088,0.874944784552544
DeepSensor,54,0,17.19350751709739,0.8596753758548695
DeepSensor,60,0,16.88818536553771,0.8444092682768854
DeepSensor,66,0,16.58248968215287,0.8291244841076434
DeepSensor,72,0,16.2768032353178,0.81384016176589
DeepSensor,78,0,15.971126025032484,0.7985563012516242
DeepSensor,84,0,15.665288118585963,0.7832644059292981
DeepSensor,90,0,15.359252163546737,0.7679626081773369
DeepSensor,96,0,15.052386661705263,0.7526193330852632
DeepSensor,102,0,14.745768850916436,0.7372884425458218
DeepSensor,108,0,14.439398731180233,0.7219699365590116
DeepSensor,114,0,14.133352694632626,0.7066676347316313
DeepSensor,120,0,13.82750729629592,0.691375364814796
DeepSensor,126,0,13.522341005825107,0.6761170502912554
DeepSensor,132,0,13.217447953349264,0.6608723976674632
DeepSensor,138,0,12.91282813886838,0.645641406943419
DeepSensor,144,0,12.608478693758407,0.6304239346879204
DeepSensor,150,0,12.304072707253859,0.615203635362693
DeepSensor,156,0,11.99911364440554,0.599955682220277
DeepSensor,162,0,11.6941519403873,0.584707597019365
DeepSensor,168,0,11.389187595199175,0.5694593797599588
DeepSensor,174,0,11.084863046794064,0.5542431523397032
DeepSensor,180,0,10.780546457440355,0.5390273228720177
DeepSensor,186,0,10.475629866560638,0.5237814933280319
DeepSensor,192,0,10.170787596191746,0.5085393798095873
DeepSensor,198,0,9.866019646333683,0.4933009823166842
DeepSensor,204,0,9.561699060766687,0.4780849530383343
DeepSensor,210,0,9.257496553622788,0.4628748276811394
DeepSensor,216,0,8.953437074303391,0.44767185371516954
DeepSensor,222,0,8.648929026943236,0.4324464513471618
DeepSensor,228,0,8.343972411542326,0.4171986205771163
DeepSensor,234,0,8.037874264271212,0.4018937132135606
DeepSensor,240,0,7.731603114935705,0.3865801557467853
DeepSensor,246,0,7.425608487148413,0.37128042435742065
DeepSensor,252,0,7.119513281159082,0.3559756640579541
DeepSensor,258,0,6.813317496967707,0.34066587484838534
DeepSensor,264,0,6.506912598912033,0.3253456299456016
DeepSensor,270,0,6.200559079768508,0.3100279539884254
DeepSensor,276,0,5.89467156905004,0.294733578452502
DeepSensor,282,0,5.589318550117887,0.27946592750589433
DeepSensor,288,0,5.284500022972065,0.26422500114860326
DeepSensor,294,0,4.979650253393466,0.24898251266967328
FL-Energy,0,0,19.951737789509703,0.9975868894754851
FL-Energy,6,0,19.662164526567956,0.9831082263283978
FL-Energy,12,0,19.372591263626195,0.9686295631813098
FL-Energy,18,0,19.083018000684454,0.9541509000342228
FL-Energy,24,0,18.793444737742696,0.9396722368871349
FL-Energy,30,0,18.503871474800945,0.9251935737400473
FL-Energy,36,0,18.21429821185919,0.9107149105929595
FL-Energy,42,0,17.92472494891744,0.896236247445872
FL-Energy,48,0,17.63515168597567,0.8817575842987836
FL-Energy,54,0,17.345578423033913,0.8672789211516957
FL-Energy,60,0,17.05600516009215,0.8528002580046075
FL-Energy,66,0,16.766431897150383,0.8383215948575191
FL-Energy,72,0,16.47685863420863,0.8238429317104314
FL-Energy,78,0,16.187285371266874,0.8093642685633438
FL-Energy,84,0,15.897712108325114,0.7948856054162557
FL-Energy,90,0,15.608138845383348,0.7804069422691674
FL-Energy,96,0,15.31856558244159,0.7659282791220795
FL-Energy,102,0,15.02899231949983,0.7514496159749915
FL-Energy,108,0,14.739419056558063,0.7369709528279031
FL-Energy,114,0,14.449845793616296,0.7224922896808148
FL-Energy,120,0,14.16027253067454,0.708013626533727
FL-Energy,126,0,13.870699267732787,0.6935349633866393
FL-Energy,132,0,13.581126004791017,0.6790563002395509
FL-Energy,138,0,13.291552741849259,0.664577637092463
FL-Energy,144,0,13.001979478907497,0.6500989739453749
FL-Energy,150,0,12.71240621596573,0.6356203107982865
FL-Energy,156,0,12.422832953023967,0.6211416476511984
FL-Energy,162,0,12.133259690082213,0.6066629845041106
FL-Energy,168,0,11.84368642714044,0.592184321357022
